﻿单位名称,组织编码,单位类型,单位级别,上级单位,排序,标签,简介,最近巡察年份,巡察历史,是否可用
﻿一级单位测试单位15,CODE0015,党委,一级单位,,,重点领域,测试单位简介,,,是
﻿一级单位测试单位14,CODE0014,宣传部,一级单位,,,重点领域,测试单位简介,,,是
﻿一级单位测试单位13,CODE0013,组织部,一级单位,,,重点领域,测试单位简介,,,是
﻿一级单位测试单位12,CODE0012,纪委,一级单位,,,重点领域,测试单位简介,,,是
﻿一级单位测试单位11,CODE0011,政府,一级单位,,,重点领域,测试单位简介,,,是
﻿二级单位测试单位10,CODE0010,党委,二级单位,,,重点领域,测试单位简介,,,是
﻿二级单位测试单位09,CODE0009,宣传部,二级单位,,,重点领域,测试单位简介,,,是
﻿二级单位测试单位08,CODE0008,组织部,二级单位,,,重点领域,测试单位简介,,,是
﻿二级单位测试单位07,CODE0007,纪委,二级单位,,,重点领域,测试单位简介,,,是
﻿二级单位测试单位06,CODE0006,政府,二级单位,,,重点领域,测试单位简介,,,是
﻿一级单位测试单位05,CODE0005,党委,一级单位,,,重点领域,测试单位简介,,,是
﻿一级单位测试单位04,CODE0004,宣传部,一级单位,,,重点领域,测试单位简介,,,是
﻿一级单位测试单位03,CODE0003,组织部,一级单位,,,重点领域,测试单位简介,,,是
﻿一级单位测试单位02,CODE0002,纪委,一级单位,,,重点领域,测试单位简介,,,是
﻿一级单位测试单位01,CODE0001,政府,一级单位,,,重点领域,测试单位简介,,,是
﻿E2E验证单位,E2E004,,一级单位,,,,,,,是
﻿测试单位-Fresh,FR-3725843,党委,一级单位,,,,,,,是
﻿全面测试单位A,TST001A,组织部,一级单位,,,,,,,是
﻿Test Unit,TU-76774,党委,一级单位,,,,,,,是
﻿Test,T1775960624441,党委,一级单位,,,,,,,是
﻿Browser Test Unit,BT1775960617938,党委,一级单位,,,,,,,是
﻿Test,TST,党委,一级单位,,,,,,,是
﻿批量导入单位乙,BATCH002,党委,二级单位,,,新单位,,,,是
﻿批量导入单位甲,BATCH001,政府,一级单位,,,测试,批量,,,,是
﻿新导入单位A,NEWUNIT001,政府,一级单位,,,新标签,,,,是
﻿前端测试单位001,TESTFRONTEND001,党委,一级单位,,,,,,,是
﻿XX市市委办公室,S001,党委,3,,,,,,,是
﻿XX省商务厅,J017,政府,二级单位,,,,,,,是
﻿XX省农业农村厅,J016,政府,二级单位,,,,,,,是
﻿XX省水利厅,J015,政府,二级单位,,,,,,,是
﻿XX省交通运输厅,J014,政府,二级单位,,,,,,,是
﻿XX省住建厅,J013,政府,二级单位,,,,,,,是
﻿XX省生态环境厅,J012,政府,二级单位,,,,,,,是
﻿XX省自然资源厅,J011,政府,二级单位,,,,,,,是
﻿XX省人社厅,J010,政府,二级单位,,,,,,,是
﻿XX省财政厅,J009,政府,二级单位,,,,,,,是
﻿XX省民政厅,J008,政府,二级单位,,,,,,,是
﻿XX省公安厅,J007,政府,二级单位,,,,,,,是
﻿XX省工业和信息化厅,J006,政府,二级单位,,,,,,,是
﻿XX省科学技术厅,J005,政府,二级单位,,,,,,,是
﻿XX省教育厅,J004,政府,二级单位,,,,,,,是
﻿XX省发展和改革委员会,J003,政府,二级单位,,,,,,,是
﻿中共XX省委宣传部,DJ004,宣传部,一级单位,,,,,2026,2026年第99轮,是
﻿中共XX省委组织部,DJ003,组织部,一级单位,,,,,2026,2026年第2轮轮,是
﻿中共XX省纪委监委,DJ002,纪委,一级单位,,,,,2026,2026年第1轮轮; 2026年第2轮轮; 2026年第3轮,是
﻿中共XX省委办公厅,DJ001,党委,一级单位,,,,,2026,2026年第1轮轮,是
﻿测试单位A,TEST001,政府,一级单位,,100,重点,试点,这是一个测试单位,,,是
﻿测试单位B,TEST002,党委,二级单位,,101,常规,这是第二个测试单位,,,是
